commune,nom_rue,gestionaire,id_cycle,id_tronc,cumuld,cumulf,etat_revet,circulation,sdc_catego,type_renov,type_revet,typo_piste,largeur_am,note_globale,note_classe,vlm_indice,vlm_classe,deformation,note_arrachement,note_bordure_endommagee,note_deformation,note_faiencage,note_fissure_avec_deformation,note_fissure_longitudinale,note_fissure_longitudinale_grave,note_fissure_transversale,note_fissure_transversale_grave,note_joint,note_joint_avec_deformation,note_nid_de_poule
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0015,CYCL_0015_1,0,100,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,7.0,Moyen,6.0,Moyen,True,10.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0015,CYCL_0015_1,100,200,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,6.0,Moyen,2.0,Mauvais,True,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0015,CYCL_0015_1,200,300,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,8.0,Moyen,6.0,Moyen,True,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0015,CYCL_0015_1,300,400,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,8.0,Moyen,5.0,Moyen,True,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0015,CYCL_0015_1,400,437,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,9.0,Bon,3.0,Moyen,False,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,0,100,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,7.0,Moyen,3.0,Moyen,True,10.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,100,200,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,7.0,Moyen,4.0,Moyen,False,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,200,300,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,6.0,Moyen,5.0,Moyen,True,10.0,10.0,8.0,10.0,10.0,7.0,9.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,300,400,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,8.0,Moyen,2.0,Mauvais,False,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,400,500,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,5.0,Moyen,1.0,Mauvais,False,10.0,10.0,10.0,10.0,10.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0
COIGNIERES,BOULEVARD DES ARPENTS - D13,SQY - SEVOA,CYCL_0018,CYCL_0018_1,500,549,,BIDIRECTIONNELLE,SECONDAIRE,,Enrobé,PISTE BIDIRECTIONNELLE,0.0,8.0,Moyen,2.0,Mauvais,False,10.0,10.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
